unit_dur,percentage,participant_id,mean_sig,std_sig,n_sig,n_trial
0.7,0.333,11,0.0,0.0,0,7
0.7,0.333,12,0.42857142857142855,0.5345224838248488,3,7
0.7,0.333,13,0.42857142857142855,0.5345224838248488,3,7
0.7,0.333,14,0.0,0.0,0,7
0.7,0.333,15,0.16666666666666666,0.408248290463863,1,6
0.7,0.333,17,0.14285714285714285,0.37796447300922725,1,7
0.7,0.333,18,0.0,0.0,0,2
0.7,0.333,20,0.2857142857142857,0.4879500364742666,2,7
0.7,0.333,21,0.14285714285714285,0.37796447300922725,1,7
0.7,0.333,24,0.2,0.4472135954999579,1,5
0.7,0.333,25,0.42857142857142855,0.5345224838248488,3,7
0.7,0.333,27,0.42857142857142855,0.5345224838248488,3,7
0.7,0.333,28,0.0,0.0,0,7
0.7,0.333,29,0.2857142857142857,0.4879500364742666,2,7
0.7,0.333,30,0.14285714285714285,0.37796447300922725,1,7
0.7,0.333,31,0.2857142857142857,0.48795003647426666,2,7
0.7,0.333,34,0.0,0.0,0,7
0.7,0.333,35,0.5714285714285714,0.5345224838248488,4,7
0.7,0.333,36,0.5714285714285714,0.5345224838248488,4,7
0.7,0.444,1,0.14285714285714285,0.37796447300922725,1,7
0.7,0.444,3,0.8571428571428571,0.37796447300922725,6,7
0.7,0.444,4,0.5714285714285714,0.5345224838248488,4,7
0.7,0.444,5,0.7142857142857143,0.4879500364742666,5,7
0.7,0.444,6,0.7142857142857143,0.48795003647426666,5,7
0.7,0.444,7,0.7142857142857143,0.4879500364742666,5,7
0.7,0.444,9,0.14285714285714285,0.37796447300922725,1,7
0.7,0.444,10,0.2857142857142857,0.4879500364742666,2,7
0.7,0.444,11,0.2857142857142857,0.4879500364742666,2,7
0.7,0.444,12,0.2857142857142857,0.48795003647426666,2,7
0.7,0.444,13,0.7142857142857143,0.48795003647426666,5,7
0.7,0.444,14,0.14285714285714285,0.37796447300922725,1,7
0.7,0.444,15,0.5714285714285714,0.5345224838248488,4,7
0.7,0.444,17,0.14285714285714285,0.37796447300922725,1,7
0.7,0.444,18,0.8333333333333334,0.408248290463863,5,6
0.7,0.444,20,0.5714285714285714,0.5345224838248488,4,7
0.7,0.444,21,0.3333333333333333,0.5163977794943223,2,6
0.7,0.444,24,0.6,0.5477225575051661,3,5
0.7,0.444,25,0.5714285714285714,0.5345224838248488,4,7
0.7,0.444,27,0.3333333333333333,0.5163977794943222,2,6
0.7,0.444,28,0.0,0.0,0,7
0.7,0.444,29,0.14285714285714285,0.37796447300922725,1,7
0.7,0.444,30,0.2857142857142857,0.48795003647426666,2,7
0.7,0.444,31,0.2857142857142857,0.4879500364742666,2,7
0.7,0.444,34,0.2857142857142857,0.4879500364742666,2,7
0.7,0.444,35,0.5,0.5477225575051661,3,6
0.7,0.444,36,0.5,0.5477225575051662,3,6
0.7,0.556,1,0.42857142857142855,0.5345224838248488,3,7
0.7,0.556,3,1.0,0.0,7,7
0.7,0.556,4,0.42857142857142855,0.5345224838248488,3,7
0.7,0.556,5,1.0,0.0,7,7
0.7,0.556,6,1.0,0.0,7,7
0.7,0.556,7,1.0,0.0,7,7
0.7,0.556,9,0.14285714285714285,0.37796447300922725,1,7
0.7,0.556,10,0.3333333333333333,0.5163977794943223,2,6
0.7,0.556,11,0.14285714285714285,0.37796447300922725,1,7
0.7,0.556,12,0.5714285714285714,0.5345224838248488,4,7
0.7,0.556,13,1.0,0.0,7,7
0.7,0.556,14,0.2857142857142857,0.48795003647426666,2,7
0.7,0.556,15,0.42857142857142855,0.5345224838248488,3,7
0.7,0.556,17,0.5714285714285714,0.5345224838248488,4,7
0.7,0.556,18,0.75,0.5,3,4
0.7,0.556,20,0.7142857142857143,0.4879500364742666,5,7
