participant_id,percentage,unitdur,correct,sum_correct,median_ncycle,median_rt
3,0.333,1.0,0,0,5.122019052505493,5.122019052505493
3,0.333,1.0,1,5,2.3779659271240234,2.3779659271240234
3,0.444,0.4,0,0,9.457544684410095,3.783017873764038
3,0.444,0.4,1,11,5.510010123252869,2.2040040493011475
3,0.444,0.7,0,0,5.792831352778844,4.05498194694519
3,0.444,0.7,1,8,4.357165779386248,3.0500160455703735
3,0.444,1.0,0,0,4.693047523498535,4.693047523498535
3,0.444,1.0,1,6,3.988485097885132,3.988485097885132
3,0.556,0.4,0,0,5.807545185089111,2.3230180740356445
3,0.556,0.4,1,13,5.572532415390015,2.229012966156006
3,0.556,0.7,0,0,7.9157400131225595,5.541018009185791
3,0.556,0.7,1,13,3.8771656581333716,2.71401596069336
3,0.556,1.0,0,0,4.078984975814819,4.078984975814819
3,0.556,1.0,1,11,3.567992925643921,3.567992925643921
3,0.667,0.4,1,14,4.078786075115204,1.6315144300460815
3,0.667,0.7,0,0,5.688478606087822,3.9819350242614746
3,0.667,0.7,1,13,3.874297142028809,2.712007999420166
3,0.667,1.0,0,0,3.8635054826736455,3.8635054826736455
3,0.667,1.0,1,8,6.024029016494751,6.024029016494751
3,0.778,0.4,1,14,4.143784940242767,1.657513976097107
3,0.778,0.7,0,0,4.174244403839111,2.921971082687378
3,0.778,0.7,1,13,5.324307169233051,3.727015018463135
3,0.778,1.0,0,0,3.9234700202941895,3.9234700202941895
3,0.778,1.0,1,12,4.270970463752747,4.270970463752747
3,0.889,0.4,1,14,4.073615074157715,1.629446029663086
3,0.889,0.7,0,0,2.2257488114493236,1.5580241680145264
3,0.889,0.7,1,13,3.5628172329493935,2.493972063064575
3,0.889,1.0,0,0,3.410001039505005,3.410001039505005
3,0.889,1.0,1,13,4.017969131469727,4.017969131469727
3,1.0,0.4,1,14,3.798702657222748,1.5194810628890991
3,1.0,0.7,1,14,3.076394285474505,2.1534759998321533
3,1.0,1.0,0,0,2.6940340995788574,2.6940340995788574
3,1.0,1.0,1,13,3.653954982757568,3.653954982757568
4,0.0,0.4,0,0,8.853873908519745,3.541549563407898
4,0.0,0.4,1,63,16.352404952049255,6.540961980819702
4,0.0,0.7,0,0,4.678574289594378,3.2750020027160645
4,0.0,0.7,1,65,9.972842761448453,6.980989933013916
4,0.0,1.0,0,0,2.6811139583587646,2.6811139583587646
