unitdur,percentage,participant_id,mean_yes,std_yes,sum_yes,n_trial
0.4,1.0,24,1.0,0.0,12,12
0.4,1.0,25,1.0,0.0,14,14
0.4,1.0,27,1.0,0.0,14,14
0.4,1.0,28,1.0,0.0,13,13
0.4,1.0,29,1.0,0.0,14,14
0.4,1.0,30,1.0,0.0,13,13
0.4,1.0,31,1.0,0.0,14,14
0.4,1.0,34,1.0,0.0,11,11
0.4,1.0,35,1.0,0.0,14,14
0.4,1.0,36,1.0,0.0,13,13
0.7,0.0,1,0.08264462809917356,0.27648920592264636,10,121
0.7,0.0,3,0.36507936507936506,0.4833743824933151,46,126
0.7,0.0,4,0.4583333333333333,0.5003500175437415,55,120
0.7,0.0,5,0.007936507936507936,0.08908708063747478,1,126
0.7,0.0,6,0.06779661016949153,0.2524686173041187,8,118
0.7,0.0,7,0.024193548387096774,0.15427299619963397,3,124
0.7,0.0,9,0.19047619047619047,0.39424430424366497,24,126
0.7,0.0,10,0.008,0.08944271909999157,1,125
0.7,0.0,11,0.19298245614035087,0.3963817098031648,22,114
0.7,0.0,12,0.025210084033613446,0.15742552040162264,3,119
0.7,0.0,13,0.184,0.389043492054137,23,125
0.7,0.0,14,0.025210084033613446,0.1574255204016226,3,119
0.7,0.0,15,0.18181818181818182,0.3876574430285532,18,99
0.7,0.0,17,0.007936507936507936,0.0890870806374748,1,126
0.7,0.0,18,0.4074074074074074,0.49364251769040346,44,108
0.7,0.0,20,0.20634920634920634,0.4062996001466961,26,126
0.7,0.0,21,0.4132231404958678,0.4944596627903248,50,121
0.7,0.0,24,0.01680672268907563,0.12909025073869204,2,119
0.7,0.0,25,0.015873015873015872,0.12548319308190936,2,126
0.7,0.0,27,0.30952380952380953,0.46414283515807003,39,126
0.7,0.0,28,0.03278688524590164,0.17881271561216863,4,122
0.7,0.0,29,0.07964601769911504,0.27195039333468984,9,113
0.7,0.0,30,0.11475409836065574,0.3200392876573463,14,122
0.7,0.0,31,0.07142857142857142,0.25856748221140036,9,126
0.7,0.0,34,0.007936507936507936,0.0890870806374748,1,126
0.7,0.0,35,0.3333333333333333,0.47328638264796935,42,126
0.7,0.0,36,0.20967741935483872,0.4087298101403311,26,124
